id,question,reference_answer,expected_keywords
33,How do I configure my email account on Outlook using IMAP settings?,"1. Open Outlook and go to File > Add Account. 2. Enter your email address and select 'Manual setup or additional server types'. 3. Choose IMAP and enter the incoming server (e.g., imap.yourdomain.com, port 993, SSL) and outgoing server (e.g., smtp.yourdomain.com, port 587, TLS). 4. Enter your username and password. 5. Test the account settings and finish setup.",email|outlook|imap|configuration|settings
34,My sent emails are bouncing back with a delivery failure error. What should I do?,"1. Check the recipient's email address for typos. 2. Read the bounce-back message for the specific error code (e.g., mailbox full, address not found). 3. Confirm your outgoing mail server (SMTP) settings are correct. 4. Check if your account has been flagged for spam-like sending behavior. 5. Try resending after a short wait, or contact the recipient through another channel to confirm their address.",email|bounce|delivery failure|smtp
35,Why can't I access my email on my phone but it works fine on my computer?,1. Confirm the phone has an active internet or Wi-Fi connection. 2. Delete and re-add the email account in the phone's mail app using the correct server settings. 3. Check if two-factor authentication requires an app-specific password for mobile access. 4. Update the mail app to the latest version. 5. Restart the phone and try logging in again.,email|mobile|access|configuration|2fa
36,How do I recover accidentally deleted emails?,"1. Check the 'Deleted Items' or 'Trash' folder first, as items are often recoverable there. 2. If not found, check 'Recoverable Items' or 'Archive' folders depending on your email client. 3. For Outlook/Exchange accounts, use the 'Recover Deleted Items' feature. 4. Act quickly, since many systems permanently purge deleted items after 30 days. 5. Contact IT support for backend mailbox recovery if the email is critical and no longer visible.",email|recover|deleted|trash|archive
37,My email is stuck showing 'Sending...' and never completes. How do I fix it?,"1. Check your internet connection stability. 2. Confirm the attachment size doesn't exceed the provider's limit (commonly 25MB). 3. Restart the email application or refresh the webmail page. 4. Clear the Outbox and try resending the message. 5. Switch networks (e.g., from Wi-Fi to mobile data) to rule out a local connectivity issue.",email|sending|stuck|attachment|troubleshoot
38,I get an error saying 'Installation failed' when trying to install new software. What can I try?,"1. Run the installer as Administrator (right-click > Run as administrator). 2. Temporarily disable antivirus software, which can sometimes block installers. 3. Ensure you have enough free disk space for the installation. 4. Download the installer again in case the original file was corrupted. 5. Check Windows Update for pending updates that might be blocking installation. 6. Review the installer's error log for a specific error code and search the vendor's support site.",installation failed|software|error|administrator
39,Why does my software installation get stuck at a certain percentage and never finish?,"1. Wait a few extra minutes, as some installations pause during background processes. 2. Check Task Manager to confirm the installer process isn't frozen (End Task and restart if needed). 3. Disable antivirus and firewall temporarily during installation. 4. Free up disk space if storage is nearly full. 5. Download a fresh copy of the installer in case of file corruption.",installation|stuck|frozen|antivirus|disk space
40,I'm getting a 'missing DLL file' error when installing or running a program. How do I fix this?,"1. Reinstall the application, as this often restores missing DLL files automatically. 2. Install the latest Microsoft Visual C++ Redistributable package, a common source of missing DLLs. 3. Run Windows Update to ensure system files are current. 4. Use the System File Checker tool ('sfc /scannow' in an elevated Command Prompt) to repair corrupted system files. 5. Avoid downloading DLL files individually from untrusted websites, as this can introduce malware.",dll error|installation|missing file|sfc
41,How do I fix 'insufficient permissions' errors during software installation?,"1. Right-click the installer and select 'Run as administrator'. 2. Confirm your Windows user account has administrator privileges (Settings > Accounts). 3. Temporarily disable User Account Control (UAC) if permitted by policy, then re-enable it after installation. 4. Check with IT support if you're on a managed/corporate device, as installation rights may be restricted by policy. 5. Install from a local admin account if available.",permissions|installation|administrator|uac
42,Why does my software say it's incompatible with my operating system?,1. Check the software's system requirements against your OS version (Settings > System > About). 2. Update your operating system to the latest version if it's outdated. 3. Look for a version of the software built specifically for your OS. 4. Try running the installer in Compatibility Mode (right-click installer > Properties > Compatibility). 5. Consider using a virtual machine if the software absolutely requires an unsupported OS.,incompatible|software|operating system|compatibility mode
43,My antivirus keeps blocking or deleting a program I'm trying to install. What should I do?,"1. Verify the software is from a legitimate, trusted source before proceeding. 2. Check your antivirus quarantine and restore the file if you trust the source. 3. Add an exception/exclusion for the installer in your antivirus settings. 4. Temporarily disable real-time protection during installation, then re-enable it immediately after. 5. Contact IT support before overriding antivirus on a company device.",antivirus|blocked|installation|quarantine
44,"How do I completely uninstall a program that failed to install correctly, so I can retry?","1. Go to Settings > Apps > Installed Apps and uninstall the partially installed program. 2. Use the vendor's official removal tool if available, since some software leaves leftover files. 3. Delete any leftover folders in Program Files or AppData related to the software. 4. Clean the registry using a trusted tool if you're comfortable doing so, or skip this step if unsure. 5. Restart the computer before attempting the installation again.",uninstall|installation|cleanup|reinstall
45,My computer suddenly shows a Blue Screen of Death (BSOD) with a stop code. What should I do first?,"1. Write down the exact stop code shown on the blue screen (e.g., MEMORY_MANAGEMENT, IRQL_NOT_LESS_OR_EQUAL). 2. Restart the computer and see if it boots normally. 3. Check Windows Update for pending updates and install them. 4. Update graphics and chipset drivers, a common cause of BSODs. 5. Run 'sfc /scannow' and 'chkdsk /f' to check for corrupted files or disk errors. 6. Search the specific stop code online for targeted troubleshooting steps.",bsod|blue screen|stop code|drivers
46,How do I find the cause of a recent Blue Screen crash using Windows tools?,1. Open Event Viewer (search in the Start menu) and navigate to Windows Logs > System. 2. Look for 'Critical' or 'Error' events around the time of the crash. 3. Note the associated error code or faulting driver name. 4. Use the Reliability Monitor (search 'View reliability history') for a simplified crash timeline. 5. Search the identified driver or error code for manufacturer-specific fixes.,bsod|blue screen|event viewer|crash|driver
47,My PC keeps blue-screening with a 'DRIVER_IRQL_NOT_LESS_OR_EQUAL' error. What does this mean and how do I fix it?,"1. This typically indicates a driver is trying to access memory improperly. 2. Boot into Safe Mode and check Device Manager for drivers with warning icons. 3. Update or roll back the most recently installed driver, especially graphics or network drivers. 4. Run Windows Update to ensure all drivers are current. 5. Use Driver Verifier (advanced tool) if the faulty driver isn't obvious, but only if comfortable with advanced troubleshooting.",bsod|driver irql|driver error|safe mode
48,How can I boot into Safe Mode to troubleshoot a Blue Screen issue?,"1. If the PC won't boot normally, force shutdown three times during startup to trigger Automatic Repair. 2. Select 'Advanced Options' > 'Troubleshoot' > 'Advanced Options' > 'Startup Settings' > 'Restart'. 3. After restart, press 4 (or F4) to boot into Safe Mode. 4. In Safe Mode, uninstall recently added software or drivers suspected of causing the crash. 5. Restart normally to see if the issue is resolved.",bsod|safe mode|boot|troubleshoot
49,"Could faulty RAM cause Blue Screen errors, and how do I test for it?","1. Yes, faulty or failing RAM is a common cause of random BSODs. 2. Run Windows Memory Diagnostic (search 'Windows Memory Diagnostic' in the Start menu) and restart to test. 3. Alternatively, use MemTest86 for a more thorough overnight test. 4. If errors are found, try reseating the RAM modules or testing each stick individually in different slots. 5. Replace any RAM module that consistently fails the test.",bsod|ram|memory diagnostic|hardware
50,My computer blue-screens only when I'm playing games or doing graphics-intensive tasks. Why?,"1. Update your graphics card driver to the latest version from the manufacturer's website. 2. Check the GPU temperature using monitoring software, as overheating can trigger crashes. 3. Clean dust from fans and vents to improve cooling. 4. Verify the power supply provides adequate wattage for the graphics card. 5. Run a stress test to confirm whether the GPU is the source of instability.",bsod|graphics|gpu|overheating|drivers
51,How do I recover my files if my PC won't start due to repeated Blue Screens?,"1. Boot from a Windows installation USB and select 'Repair your computer' instead of installing. 2. Use the Advanced Startup options to access Command Prompt and copy files to an external drive using 'xcopy' or 'robocopy'. 3. Alternatively, remove the hard drive and connect it to another computer as an external drive to retrieve files. 4. Once files are backed up, proceed with System Restore or a clean OS reinstall. 5. Contact IT support if data recovery software is required for a corrupted drive.",bsod|recovery|files|backup|reinstall
52,My VPN won't connect while working from home. What troubleshooting steps should I follow?,1. Confirm your internet connection is working outside the VPN. 2. Restart the VPN client application. 3. Verify your VPN credentials haven't expired or need a password reset. 4. Check for VPN client software updates. 5. Try a different VPN server location if available. 6. Contact IT support if the VPN server itself may be down.,vpn|connection|remote|troubleshoot
53,How do I fix a frozen application that isn't responding?,"1. Open Task Manager (Ctrl+Shift+Esc). 2. Select the unresponsive application and click 'End Task'. 3. Reopen the application to see if it functions normally. 4. Check for and install any pending updates for the application. 5. Restart the computer if multiple applications are freezing, which may indicate a system-level issue.",frozen|not responding|task manager|application
54,My external monitor isn't being detected by my laptop. How do I troubleshoot this?,1. Check that the video cable (HDMI/DisplayPort/USB-C) is firmly connected on both ends. 2. Press Windows + P to select a display mode (Extend/Duplicate). 3. Update your graphics driver. 4. Try a different cable or port to rule out a hardware fault. 5. Test the monitor with another device to confirm it's working correctly.,monitor|display|detection|drivers
55,How do I free up storage space warnings on a work laptop?,1. Run Disk Cleanup to remove temporary and system files. 2. Move large files to a network drive or cloud storage like OneDrive. 3. Uninstall unused applications. 4. Empty the Recycle Bin. 5. Check for large hidden files using Storage Settings (Settings > System > Storage).,storage|disk space|cleanup|performance
56,My keyboard or mouse suddenly stopped working. What should I check?,1. Check the physical connection (USB cable or wireless receiver) and try a different USB port. 2. Replace batteries if using a wireless device. 3. Update or reinstall the device driver in Device Manager. 4. Test the device on another computer to confirm it isn't a hardware fault. 5. Restart the computer to reset device connections.,keyboard|mouse|hardware|drivers|troubleshoot
